Operator ID,Operator Name,Operator Type,Service Subcategory,Commission Type,B2B Commission BELOW 5K
1124,"A.M.U.P.S., Melmuri South, Malappuram",education,Prepaid,fixed,
1124,"A.M.U.P.S., Melmuri South, Malappuram",education,Postpaid,fixed,
1124,"A.M.U.P.S., Melmuri South, Malappuram",education,DTH Recharge,fixed,
1124,"A.M.U.P.S., Melmuri South, Malappuram",education,Cable Recharge,fixed,
1124,"A.M.U.P.S., Melmuri South, Malappuram",education,Electricity,fixed,
1124,"A.M.U.P.S., Melmuri South, Malappuram",education,Broadband,fixed,
1124,"A.M.U.P.S., Melmuri South, Malappuram",education,Gas,fixed,
1124,"A.M.U.P.S., Melmuri South, Malappuram",education,Water,fixed,
1124,"A.M.U.P.S., Melmuri South, Malappuram",education,Landline,fixed,
1124,"A.M.U.P.S., Melmuri South, Malappuram",education,Tax,fixed,
1124,"A.M.U.P.S., Melmuri South, Malappuram",education,Credit Card,fixed,
1124,"A.M.U.P.S., Melmuri South, Malappuram",education,Housing Society,fixed,
1124,"A.M.U.P.S., Melmuri South, Malappuram",education,OTT Subscription,fixed,
1124,"A.M.U.P.S., Melmuri South, Malappuram",education,Education Fees,fixed,
1124,"A.M.U.P.S., Melmuri South, Malappuram",education,Municipal Tax,fixed,
1124,"A.M.U.P.S., Melmuri South, Malappuram",education,Clubs & Associations,fixed,
1124,"A.M.U.P.S., Melmuri South, Malappuram",education,Cable TV,fixed,
1124,"A.M.U.P.S., Melmuri South, Malappuram",education,LPG Cylinder,fixed,
1124,"A.M.U.P.S., Melmuri South, Malappuram",education,Hospital,fixed,
1124,"A.M.U.P.S., Melmuri South, Malappuram",education,Insurance,fixed,
1124,"A.M.U.P.S., Melmuri South, Malappuram",education,Loan EMI,fixed,
1124,"A.M.U.P.S., Melmuri South, Malappuram",education,FASTag,fixed,
1124,"A.M.U.P.S., Melmuri South, Malappuram",education,Municipal Services,fixed,
1124,"A.M.U.P.S., Melmuri South, Malappuram",education,Subscription 2,fixed,
300,AAVAS FINANCIERS LIMITED,loan,Prepaid,fixed,
300,AAVAS FINANCIERS LIMITED,loan,Postpaid,fixed,
300,AAVAS FINANCIERS LIMITED,loan,DTH Recharge,fixed,
300,AAVAS FINANCIERS LIMITED,loan,Cable Recharge,fixed,
300,AAVAS FINANCIERS LIMITED,loan,Electricity,fixed,
300,AAVAS FINANCIERS LIMITED,loan,Broadband,fixed,
300,AAVAS FINANCIERS LIMITED,loan,Gas,fixed,
300,AAVAS FINANCIERS LIMITED,loan,Water,fixed,
300,AAVAS FINANCIERS LIMITED,loan,Landline,fixed,
300,AAVAS FINANCIERS LIMITED,loan,Tax,fixed,
300,AAVAS FINANCIERS LIMITED,loan,Credit Card,fixed,
300,AAVAS FINANCIERS LIMITED,loan,Housing Society,fixed,
300,AAVAS FINANCIERS LIMITED,loan,OTT Subscription,fixed,
300,AAVAS FINANCIERS LIMITED,loan,Education Fees,fixed,
300,AAVAS FINANCIERS LIMITED,loan,Municipal Tax,fixed,
300,AAVAS FINANCIERS LIMITED,loan,Clubs & Associations,fixed,
300,AAVAS FINANCIERS LIMITED,loan,Cable TV,fixed,
300,AAVAS FINANCIERS LIMITED,loan,LPG Cylinder,fixed,
300,AAVAS FINANCIERS LIMITED,loan,Hospital,fixed,
300,AAVAS FINANCIERS LIMITED,loan,Insurance,fixed,
300,AAVAS FINANCIERS LIMITED,loan,Loan EMI,fixed,
300,AAVAS FINANCIERS LIMITED,loan,FASTag,fixed,
300,AAVAS FINANCIERS LIMITED,loan,Municipal Services,fixed,
300,AAVAS FINANCIERS LIMITED,loan,Subscription 2,fixed,
159,ACT Fibernet,broadband,Prepaid,fixed,
159,ACT Fibernet,broadband,Postpaid,fixed,
159,ACT Fibernet,broadband,DTH Recharge,fixed,
159,ACT Fibernet,broadband,Cable Recharge,fixed,
